Center Name,Center Code
AIRTEL/BSNL,AB
Airtel/BSNL/VIL,ABV
AIRCEL,AIRCEL
AIRTEL,AIRTEL
All Operator,ALL
AIRTEL/RJIO,AR
AIRTEL/VIL,AV
AIRTEL/VIL/RJIO,AVR
AIRTEL/VIL/RJIO/BSNL,AVRB
BCC INF,BCC INF
BlueMoon,BlueMoon
BSNL/RJIO,BR
BSNL,BSNL
BSNL/VIL,BV
General Centre 3,Centr_z3
DOUBTFUL,DOUBTFUL
FUSIONET,FUSIONET
GLOBAL R,GLOBAL R
HEXACOM,HEXACOM
IDEA,IDEA
JIO,JIO
JIO/VIL/BSNL,JVB
LR INFRA,LR INFRA
MTNL,MTNL
PIRAMAL,PIRAMAL
Rjio/Airtel/BSNL,RAB
RANEXT,RANEXT
RCOM,RCOM
TATA TEL,TATA TEL
VIL,VIL
VODA,VODA
VIL/RJIO,VR
